z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
1469	0.208771437407	0.120971426368	-999.25	0.155128568411	0.184214279056	0.0587285682559	-999.25	0.142128571868	0.211914300919	0.132142871618	0.165857151151	0.395571440458	0.210357159376	
1470	0.14333333075	0.126999989152	-999.25	0.189549997449	0.126883342862	0.0854666605592	-999.25	0.138316676021	0.169200003147	0.207666680217	0.18449999392	0.399333328009	0.169766664505	
1471	0.180671438575	0.14292858541	-999.25	0.198728576303	0.138957157731	0.163114279509	-999.25	0.154342859983	0.152057141066	0.166857138276	0.146428570151	0.311571419239	0.150771409273	
1472	0.15728572011	0.138442859054	-999.25	0.202128559351	0.16957141459	0.157999992371	-999.25	0.207871422172	0.19280000031	0.112857140601	0.14757142961	0.319857120514	0.189871430397	
1473	0.163599997759	0.115483336151	-999.25	0.188633322716	0.0984500050545	0.174666658044	-999.25	0.191633343697	0.19783334434	0.12800000608	0.127499997616	0.318833321333	0.20273335278	
1474	0.174785718322	0.177999988198	-999.25	0.202157154679	0.0646428614855	0.158400014043	-999.25	0.169914275408	0.171757131815	0.174000009894	0.118285723031	0.289428532124	0.171514287591	
1475	0.202533319592	0.219799995422	-999.25	0.191883325577	0.116966664791	0.164350017905	-999.25	0.15925000608	0.148533329368	0.13966666162	0.179666653275	0.293833345175	0.149766668677	
1476	0.217042848468	0.227857142687	-999.25	0.174985691905	0.20825715363	0.152099996805	-999.25	0.135099992156	0.160985708237	0.129714280367	0.202571421862	0.336714297533	0.158985719085	
1477	0.126649990678	0.150883316994	-999.25	0.132666662335	0.181716680527	0.154283344746	-999.25	0.148299992085	0.218266680837	0.125	0.185166671872	0.311000019312	0.217250004411	
1478	0.0780285671353	0.131385713816	-999.25	0.127800002694	0.209342852235	0.116542853415	-999.25	0.227342858911	0.206371411681	0.172857135534	0.146714285016	0.327571421862	0.205514281988	
1479	0.0918428525329	0.105999998748	-999.25	0.13754285872	0.188585728407	0.0898000001907	-999.25	0.197957143188	0.221457138658	0.201571434736	0.137999996543	0.224428549409	0.220457166433	
1480	0.17228333652	0.0976333320141	-999.25	0.166449993849	0.197850003839	0.0957500040531	-999.25	0.211583331227	0.243566676974	0.197333320975	0.192833349109	0.248166635633	0.243416652083	
1481	0.162557125092	0.143271431327	-999.25	0.111542858183	0.177985712886	0.12027142942	-999.25	0.163885712624	0.19385714829	0.21342857182	0.138714298606	0.252571433783	0.193914294243	
1482	0.113433338702	0.19485001266	-999.25	0.131566658616	0.189883336425	0.123899996281	-999.25	0.177650019526	0.154449999332	0.221499994397	0.128499999642	0.2948333323	0.154983341694	
1483	0.122428581119	0.129185706377	-999.25	0.198685720563	0.126100003719	0.0780857205391	-999.25	0.211842864752	0.109442852437	0.171571418643	0.179714277387	0.275142878294	0.111599996686	
1484	0.0920166671276	0.108099997044	-999.25	0.147616669536	0.114933334291	0.0960333347321	-999.25	0.175449982285	0.101733334363	0.155500009656	0.158000007272	0.249666690826	0.101449996233	
1485	0.0977428555489	0.0986000075936	-999.25	0.15680000186	0.124985732138	0.153057143092	-999.25	0.157342866063	0.101514287293	0.0972857102752	0.149142861366	0.123571433127	0.102357141674	
1486	0.173749983311	0.0939833298326	-999.25	0.164566650987	0.166400000453	0.11439999193	-999.25	0.184000000358	0.0731500014663	0.104000002146	0.130166679621	0.178500011563	0.0727833285928	
1487	0.166842862964	0.150499984622	-999.25	0.186999991536	0.11961428076	0.123128570616	-999.25	0.209671422839	0.113928563893	0.0931428596377	0.152428582311	0.149428576231	0.112914286554	
1488	0.164442867041	0.11360000819	-999.25	0.124642848969	0.0833857059479	0.140571430326	-999.25	0.186114311218	0.167071431875	0.0885714292526	0.214142844081	0.232428565621	0.167214289308	
1489	0.0988666713238	0.100183330476	-999.25	0.11006667465	0.157533332705	0.12961666286	-999.25	0.162483334541	0.163683325052	0.166333332658	0.185166656971	0.216666683555	0.167866662145	
1490	0.122999988496	0.136500000954	-999.25	0.193142861128	0.176442846656	0.0832857042551	-999.25	0.188457131386	0.111871421337	0.149999991059	0.212142854929	0.110857143998	0.111128568649	
1491	0.166533336043	0.190866664052	-999.25	0.127866670489	0.133250012994	0.0909333303571	-999.25	0.163616672158	0.107749998569	0.120000004768	0.214333340526	0.12800000608	0.109750002623	
1492	0.126328572631	0.118442855775	-999.25	0.105842851102	0.150185704231	0.151442855597	-999.25	0.145728573203	0.102557137609	0.0924285724759	0.174000009894	0.117428578436	0.104300007224	
1493	0.089500002563	0.178066670895	-999.25	0.188333332539	0.17906665802	0.0825666710734	-999.25	0.181550011039	0.0746333375573	0.119833342731	0.150333330035	0.123166672885	0.0742500051856	
1494	0.150028571486	0.170414298773	-999.25	0.154128566384	0.177942857146	0.0813999995589	-999.25	0.196671441197	0.112042851746	0.0982857272029	0.110714279115	0.124142862856	0.108728572726	
1495	0.148416653275	0.0926499962807	-999.25	0.167233347893	0.0970999971032	0.14103333652	-999.25	0.243933320045	0.17215000093	0.0961666703224	0.127000004053	0.158666655421	0.166383326054	
1496	0.130571424961	0.0977714285254	-999.25	0.167471408844	0.0801428556442	0.123099990189	-999.25	0.234785705805	0.164342850447	0.159000009298	0.110428571701	0.165857151151	0.170385703444	
1497	0.106671437621	0.108271420002	-999.25	0.191014289856	0.177342861891	0.132500007749	-999.25	0.215299993753	0.14165712893	0.182857140899	0.106857143342	0.175857141614	0.139342859387	
1498	0.130883336067	0.123400002718	-999.25	0.157766655087	0.104533337057	0.134700000286	-999.25	0.168049991131	0.153966665268	0.142000004649	0.175166666508	0.181999996305	0.150766655803	
