z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
237	2.48992872238	2.50341415405	2.52118563652	-999.25	-999.25	2.39901423454	2.46778559685	-999.25	2.50250005722	2.52600026131	2.51628565788	2.53057146072	2.4998857975	
238	2.46914982796	2.50755000114	2.52324986458	-999.25	-999.25	2.41404986382	2.47101664543	-999.25	2.52733325958	2.527166605	2.51950001717	2.51383328438	2.52535009384	
239	2.47701430321	2.50650000572	2.50701451302	-999.25	-999.25	2.51084303856	2.38978552818	-999.25	2.52139997482	2.52085709572	2.50557136536	2.4757142067	2.51729989052	
240	2.51041436195	2.49487137794	2.52155709267	-999.25	-999.25	2.51967167854	2.4816570282	-999.25	2.49702858925	2.52328562737	2.50385713577	2.2795715332	2.5000140667	
241	2.48788332939	2.49215006828	2.53843331337	-999.25	-999.25	2.49798321724	2.4971165657	-999.25	2.5025331974	2.51950001717	2.51116681099	1.54866659641	2.50851655006	
242	2.49457144737	2.49588561058	2.52544283867	-999.25	-999.25	2.52064299583	2.46738600731	-999.25	2.51320004463	2.53700017929	2.5274283886	2.3245716095	2.52005720139	
243	2.50483345985	2.49619984627	2.52551651001	-999.25	-999.25	2.50508332253	2.34653306007	-999.25	2.50378346443	2.5203332901	2.51766657829	2.48399996758	2.50569987297	
244	2.49537134171	2.49982857704	2.54528570175	-999.25	-999.25	2.50925707817	2.33777165413	-999.25	2.51837134361	2.53485703468	2.49485731125	2.30628585815	2.51880025864	
245	2.50029993057	2.49171662331	2.53384995461	-999.25	-999.25	2.51470017433	2.41521668434	-999.25	2.48166656494	2.53283309937	2.49883341789	2.43566679955	2.49169993401	
246	2.51217126846	2.4948425293	2.53667140007	-999.25	-999.25	2.49991416931	2.39821434021	-999.25	2.51288580894	2.53714299202	2.29514288902	2.49814271927	2.51689982414	
247	2.45545721054	2.49437141418	2.52415704727	-999.25	-999.25	2.51887130737	2.36817145348	-999.25	2.48355698586	2.53671431541	2.43871426582	2.5065715313	2.48852872849	
